PROCEDIMENTO;HOSPITAL ACCURATA;
   + Pré-Axilas, FI Coxas e Culotes;3.600,00;4.100,00
   + Pré-Axilas, FI Coxas e Braços;3.900,00;4.100,00
   + Pré-Axilas, Culotes e Braços;3.900,00;4.100,00
   + Pré-Axilas, FI Coxas, Culotes e Braços;3.900,00;4.100,00
   + FI Coxas e Culotes;3.600,00;4.100,00
   + FI Coxas e Braços;3.900,00;4.100,00
   + Culotes e Braços;3.900,00;4.100,00
   + FI Coxas, Culotes e Braços;3.900,00;4.100,00
   + Retirada de Fuso Cutâneo do Abdome;3.900,00;4.400,00
Lipoescultura - Lipoaspiração de Dorso e Lipoenxertia Glútea;2.800,00;3.000,00
   + Pré-Axilas;3.000,00;3.200,00
   + FI Coxas;3.100,00;3.300,00
   + Culotes;3.100,00;3.300,00
   + Braços;3.000,00;3.200,00
   + Pré-Axilas e FI Coxas;3.100,00;3.300,00
   + Pré-Axilas e Culotes;3.100,00;3.300,00
   + Pré-Axilas e Braços;3.100,00;3.300,00
   + Pré-Axilas, FI Coxas e Culotes;3.100,00;3.300,00
   + Pré-Axilas, FI Coxas e Braços;3.100,00;3.300,00
   + Pré-Axilas, Culotes e Braços;3.100,00;3.300,00
   + Pré-Axilas, FI Coxas, Culotes e Braços;3.100,00;3.300,00
   + FI Coxas e Culotes;3.100,00;3.300,00
   + FI Coxas e Braços;3.100,00;3.300,00
   + Culotes e Braços;3.100,00;3.300,00
   + FI Coxas, Culotes e Braços;3.100,00;3.300,00
   + Retirada de Fuso Cutâneo do Abdome;3.300,00;3.500,00
Lipoaspiração de Pré-Axilas;1.800,00;-
Lipoaspiração de Contorno Mamário;1.800,00;-
Lipoaspiração de Braços;3.000,00;-
Lipoaspiração de FI Coxas;1.800,00;-
Lipoaspiração de Culotes;1.800,00;-
Lipoaspiração de Sumento;1.800,00;-
Miniabdominoplastia;4.500,00;5.000,00
Miniabdominoplastia e Lipoaspiração de Abdome e Flancos;5.000,00;5.500,00
Miniabdominoplastia e Lipoaspiração de Abdome, Flancos e Dorso;5.500,00;6.000,00
Miniabdominoplastia e Lipoescultura - Lipoaspiração de Abdome, Flancos e Dorso e Lipoenxertia Glútea;5.800,00;6.300,00
Abdominoplastia;5.000,00;5.500,00
Abdominoplastia e Lipoaspiração de Abdome e Flancos;5.500,00;6.000,00
   + Pré-Axilas;5.500,00;6.000,00
   + FI Coxas;5.500,00;6.000,00
   + Culotes;5.500,00;6.000,00
   + Braços;6.000,00;6.500,00
