PROCEDIMENTO;Complexidade A;;;Complexidade B;;;Complexidade C;;
;Total;Cirurgia;Anestesia;Total;Cirurgia;Anestesia;Total;Cirurgia;Anestesia
Miniabdominoplastia + Lipoaspiração Abdome, Flancos, Dorso + Lipoenx Glútea;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
Abdominoplastia;25.000,00;21.000,00;4.000,00;28.000,00;24.000,00;4.000,00;31.000,00;27.000,00;4.000,00
Abdominoplastia + Lipoaspiração Abdome, Flancos;26.000,00;22.000,00;4.000,00;29.000,00;25.000,00;4.000,00;32.000,00;28.000,00;4.000,00
   + Pré-Axilas;27.000,00;23.000,00;4.000,00;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00
   + FI Coxas;29.000,00;25.000,00;4.000,00;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00
   + Culotes;29.000,00;25.000,00;4.000,00;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00
   + Braços;29.000,00;25.000,00;4.000,00;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00
   + Pré-Axilas, FI Coxas;29.000,00;25.000,00;4.000,00;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00
   + Pré-Axilas, Culotes;29.000,00;25.000,00;4.000,00;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00
   + Pré-Axilas, Braços;29.000,00;25.000,00;4.000,00;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00
   + Pré-Axilas, FI Coxas, Culotes;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00
   + Pré-Axilas, FI Coxas, Braços;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Pré-Axilas, Culotes, Braços;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Pré-Axilas, FI Coxas, Culotes, Braços;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + FI Coxas, Culotes;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00
