PROCEDIMENTO;A;;;B;;;C;;
;Total;Cirurgia;Anestesia;Total;Cirurgia;Anestesia;Total;Cirurgia;Anestesia
   + Pré-Axilas, FI Coxas e Culotes;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Pré-Axilas, FI Coxas e Braços;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00
   + Pré-Axilas, Culotes e Braços;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00
   + Pré-Axilas, FI Coxas, Culotes e Braços;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + FI Coxas e Culotes;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + FI Coxas e Braços;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00
   + Culotes e Braços;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00
   + FI Coxas, Culotes e Braços;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
Abdominoplastia e Lipoescultura - Lipoaspiração de Abdome, Flancos e Dorso e Lipoenxertia Glútea;33.000,00;28.000,00;5.000,00;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00
   + Pré-Axilas;34.000,00;29.000,00;5.000,00;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00
   + FI Coxas;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Culotes;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Braços;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Pré-Axilas e FI Coxas;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Pré-Axilas e Culotes;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Pré-Axilas e Braços;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Pré-Axilas, FI Coxas e Culotes;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00
   + Pré-Axilas, FI Coxas e Braços;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + Pré-Axilas, Culotes e Braços;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
