PROCEDIMENTO;A;;;B;;;C;;
;Total;Cirurgia;Anestesia;Total;Cirurgia;Anestesia;Total;Cirurgia;Anestesia
   + Culotes e Submento;25.000,00;22.000,00;3.000,00;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00
   + Culotes, Braços e Submento;27.000,00;24.000,00;3.000,00;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00
   + Braços e Submento;25.000,00;22.000,00;3.000,00;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00
Retirada de Fuso de Pele do Abdome;10.000,00;8.000,00;2.000,00;13.000,00;11.000,00;2.000,00;16.000,00;14.000,00;2.000,00
Retirada de Fuso de Pele do Abdome e Lipoaspiração de Abdome e Flancos;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Pré-Axilas;23.000,00;20.000,00;3.000,00;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00
   + Face Interna das Coxas;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Culotes;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Braços;27.000,00;24.000,00;3.000,00;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00
   + Submento;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Pré-Axilas e Face Interna das Coxas;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Pré-Axilas e Culotes;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Pré-Axilas e Braços;27.000,00;24.000,00;3.000,00;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00
   + Pré-Axilas e Submento;26.000,00;23.000,00;3.000,00;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Pré-Axilas, Face Interna das Coxas e Braços;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00
   + Pré-Axilas, Face Interna das Coxas e Submento;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Submento;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
   + Pré-Axilas, Face Interna das Coxas, Braços e Submento;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes, Braços e Submento;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00;39.000,00;36.000,00;3.000,00
   + Pré-Axilas, Culotes e Braços;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00
   + Pré-Axilas, Culotes e Submento;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Pré-Axilas, Culotes, Braços e Submento;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
   + Pré-Axilas, Braços e Submento;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00
   + Face Interna das Coxas e Culotes;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Face Interna das Coxas e Braços;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00
   + Face Interna das Coxas e Submento;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00
   + Face Interna das Coxas, Culotes e Braços;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
   + Face Interna das Coxas, Culotes e Submento;30.000,00;27.000,00;3.000,00;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00
   + Face Interna das Coxas, Braços e Submento;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
   + Face Interna das Coxas, Culotes, Braços e Submento;33.000,00;30.000,00;3.000,00;36.000,00;33.000,00;3.000,00;39.000,00;36.000,00;3.000,00
   + Culotes e Braços;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00
   + Culotes e Submento;28.000,00;25.000,00;3.000,00;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00
   + Culotes, Braços e Submento;31.000,00;28.000,00;3.000,00;34.000,00;31.000,00;3.000,00;37.000,00;34.000,00;3.000,00
   + Braços e Submento;29.000,00;26.000,00;3.000,00;32.000,00;29.000,00;3.000,00;35.000,00;32.000,00;3.000,00
Retirada de Fuso de Pele do Abdome e Lipoaspiração de Abdome, Flancos e Dorso;28.000,00;24.000,00;4.000,00;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00
   + Pré-Axilas;28.000,00;24.000,00;4.000,00;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00
   + Face Interna das Coxas;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00
   + Culotes;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00
   + Braços;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00
   + Submento;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00
   + Pré-Axilas e Face Interna das Coxas;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00
   + Pré-Axilas e Culotes;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00
   + Pré-Axilas e Braços;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00
   + Pré-Axilas e Submento;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas e Braços;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas e Submento;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Submento;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas, Braços e Submento;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes, Braços e Submento;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00;44.000,00;40.000,00;4.000,00
   + Pré-Axilas, Culotes e Braços;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Pré-Axilas, Culotes e Submento;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Pré-Axilas, Culotes, Braços e Submento;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
   + Pré-Axilas, Braços e Submento;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Face Interna das Coxas e Culotes;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Face Interna das Coxas e Braços;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Face Interna das Coxas e Submento;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Face Interna das Coxas, Culotes e Braços;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
   + Face Interna das Coxas, Culotes e Submento;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
   + Face Interna das Coxas, Braços e Submento;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
   + Face Interna das Coxas, Culotes, Braços e Submento;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00;44.000,00;40.000,00;4.000,00
   + Culotes e Braços;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Culotes e Submento;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Culotes, Braços e Submento;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
   + Braços e Submento;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
Retirada de Fuso de Pele do Abdome e Lipoescultura - Lipoaspiração de Abdome, Flancos e Dorso e Lipoenxertia Glútea;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Pré-Axilas;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Face Interna das Coxas;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Culotes;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Braços;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Submento;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Pré-Axilas e Face Interna das Coxas;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Pré-Axilas e Culotes;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Pré-Axilas e Braços;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Pré-Axilas e Submento;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas e Braços;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas e Submento;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00;43.000,00;39.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Submento;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00;43.000,00;39.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas, Braços e Submento;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00;43.000,00;39.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes, Braços e Submento;40.000,00;36.000,00;4.000,00;43.000,00;39.000,00;4.000,00;46.000,00;42.000,00;4.000,00
   + Pré-Axilas, Culotes e Braços;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
   + Pré-Axilas, Culotes e Submento;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
   + Pré-Axilas, Culotes, Braços e Submento;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00;43.000,00;39.000,00;4.000,00
   + Pré-Axilas, Braços e Submento;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
   + Face Interna das Coxas e Culotes;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
   + Face Interna das Coxas e Braços;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
   + Face Interna das Coxas e Submento;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
   + Face Interna das Coxas, Culotes e Braços;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00;43.000,00;39.000,00;4.000,00
   + Face Interna das Coxas, Culotes e Submento;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00;43.000,00;39.000,00;4.000,00
   + Face Interna das Coxas, Braços e Submento;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00;43.000,00;39.000,00;4.000,00
   + Face Interna das Coxas, Culotes, Braços e Submento;40.000,00;36.000,00;4.000,00;43.000,00;39.000,00;4.000,00;46.000,00;42.000,00;4.000,00
   + Culotes e Braços;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
   + Culotes e Submento;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
   + Culotes, Braços e Submento;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00;43.000,00;39.000,00;4.000,00
   + Braços e Submento;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
Miniabdominoplastia;20.000,00;16.000,00;4.000,00;23.000,00;19.000,00;4.000,00;26.000,00;22.000,00;4.000,00
Miniabdominoplastia e Lipoaspiração de Abdome e Flancos;26.000,00;22.000,00;4.000,00;29.000,00;25.000,00;4.000,00;32.000,00;28.000,00;4.000,00
   + Pré-Axilas;26.000,00;22.000,00;4.000,00;29.000,00;25.000,00;4.000,00;32.000,00;28.000,00;4.000,00
   + Face Interna das Coxas;29.000,00;25.000,00;4.000,00;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00
   + Culotes;29.000,00;25.000,00;4.000,00;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00
   + Braços;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Submento;29.000,00;25.000,00;4.000,00;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00
   + Pré-Axilas e Face Interna das Coxas;29.000,00;25.000,00;4.000,00;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00
   + Pré-Axilas e Culotes;29.000,00;25.000,00;4.000,00;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00
   + Pré-Axilas e Braços;30.000,00;26.000,00;4.000,00;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00
   + Pré-Axilas e Submento;29.000,00;25.000,00;4.000,00;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas e Braços;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas e Submento;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00;41.000,00;37.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Submento;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas, Braços e Submento;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes, Braços e Submento;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00;42.000,00;38.000,00;4.000,00
   + Pré-Axilas, Culotes e Braços;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Pré-Axilas, Culotes e Submento;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00
   + Pré-Axilas, Culotes, Braços e Submento;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Pré-Axilas, Braços e Submento;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Face Interna das Coxas e Culotes;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00
   + Face Interna das Coxas e Braços;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Face Interna das Coxas e Submento;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Face Interna das Coxas, Culotes e Braços;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Face Interna das Coxas, Culotes e Submento;33.000,00;29.000,00;4.000,00;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00
   + Face Interna das Coxas, Braços e Submento;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Face Interna das Coxas, Culotes, Braços e Submento;36.000,00;32.000,00;4.000,00;39.000,00;35.000,00;4.000,00;42.000,00;38.000,00;4.000,00
   + Culotes e Braços;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
   + Culotes e Submento;31.000,00;27.000,00;4.000,00;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00
   + Culotes, Braços e Submento;34.000,00;30.000,00;4.000,00;37.000,00;33.000,00;4.000,00;40.000,00;36.000,00;4.000,00
   + Braços e Submento;32.000,00;28.000,00;4.000,00;35.000,00;31.000,00;4.000,00;38.000,00;34.000,00;4.000,00
Miniabdominoplastia e Lipoaspiração de Abdome, Flancos e Dorso;31.000,00;26.000,00;5.000,00;34.000,00;29.000,00;5.000,00;37.000,00;32.000,00;5.000,00
   + Pré-Axilas;31.000,00;26.000,00;5.000,00;34.000,00;29.000,00;5.000,00;37.000,00;32.000,00;5.000,00
   + Face Interna das Coxas;34.000,00;29.000,00;5.000,00;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00
   + Culotes;34.000,00;29.000,00;5.000,00;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00
   + Braços;34.000,00;29.000,00;5.000,00;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00
   + Submento;34.000,00;29.000,00;5.000,00;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00
   + Pré-Axilas e Face Interna das Coxas;34.000,00;29.000,00;5.000,00;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00
   + Pré-Axilas e Culotes;34.000,00;29.000,00;5.000,00;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00
   + Pré-Axilas e Braços;34.000,00;29.000,00;5.000,00;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00
   + Pré-Axilas e Submento;34.000,00;29.000,00;5.000,00;37.000,00;32.000,00;5.000,00;40.000,00;35.000,00;5.000,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Pré-Axilas, Face Interna das Coxas e Braços;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Pré-Axilas, Face Interna das Coxas e Submento;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Submento;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00
   + Pré-Axilas, Face Interna das Coxas, Braços e Submento;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes, Braços e Submento;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00;47.000,00;42.000,00;5.000,00
   + Pré-Axilas, Culotes e Braços;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Pré-Axilas, Culotes e Submento;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Pré-Axilas, Culotes, Braços e Submento;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00
   + Pré-Axilas, Braços e Submento;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Face Interna das Coxas e Culotes;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Face Interna das Coxas e Braços;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Face Interna das Coxas e Submento;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Face Interna das Coxas, Culotes e Braços;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00
   + Face Interna das Coxas, Culotes e Submento;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00
   + Face Interna das Coxas, Braços e Submento;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00
   + Face Interna das Coxas, Culotes, Braços e Submento;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00;47.000,00;42.000,00;5.000,00
   + Culotes e Braços;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Culotes e Submento;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Culotes, Braços e Submento;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00
   + Braços e Submento;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
Miniabdominoplastia e Lipoescultura - Lipoaspiração de Abdome, Flancos e Dorso e Lipoenxertia Glútea;33.000,00;28.000,00;5.000,00;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00
   + Pré-Axilas;33.000,00;28.000,00;5.000,00;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00
   + Face Interna das Coxas;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Culotes;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Braços;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Submento;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Pré-Axilas e Face Interna das Coxas;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Pré-Axilas e Culotes;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Pré-Axilas e Braços;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Pré-Axilas e Submento;36.000,00;31.000,00;5.000,00;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00
   + Pré-Axilas, Face Interna das Coxas e Braços;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00
   + Pré-Axilas, Face Interna das Coxas e Submento;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00;46.000,00;41.000,00;5.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Submento;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00;46.000,00;41.000,00;5.000,00
   + Pré-Axilas, Face Interna das Coxas, Braços e Submento;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00;46.000,00;41.000,00;5.000,00
   + Pré-Axilas, Face Interna das Coxas, Culotes, Braços e Submento;43.000,00;38.000,00;5.000,00;46.000,00;41.000,00;5.000,00;49.000,00;44.000,00;5.000,00
   + Pré-Axilas, Culotes e Braços;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00
   + Pré-Axilas, Culotes e Submento;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00
   + Pré-Axilas, Culotes, Braços e Submento;40.000,00;35.000,00;5.000,00;43.000,00;38.000,00;5.000,00;46.000,00;41.000,00;5.000,00
   + Pré-Axilas, Braços e Submento;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00
   + Face Interna das Coxas e Culotes;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00
   + Face Interna das Coxas e Braços;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00
