PROCEDIMENTO;HOSPITAL ACCURATA;
   + Pré-Axilas, Face Interna das Coxas, Culotes, Braços e Submento;4.000,00;5.000,00
   + Pré-Axilas, Culotes e Braços;4.000,00;4.900,00
   + Pré-Axilas, Culotes e Submento;4.000,00;4.900,00
   + Pré-Axilas, Culotes, Braços e Submento;4.000,00;4.900,00
   + Pré-Axilas, Braços e Submento;4.000,00;4.900,00
   + Face Interna das Coxas e Culotes;4.000,00;4.900,00
   + Face Interna das Coxas e Braços;4.000,00;4.900,00
   + Face Interna das Coxas e Submento;4.000,00;4.900,00
   + Face Interna das Coxas, Culotes e Braços;4.000,00;4.900,00
   + Face Interna das Coxas, Culotes e Submento;4.000,00;4.900,00
   + Face Interna das Coxas, Braços e Submento;4.000,00;4.900,00
   + Face Interna das Coxas, Culotes, Braços e Submento;4.000,00;5.000,00
   + Culotes e Braços;4.000,00;4.900,00
   + Culotes e Submento;4.000,00;4.900,00
   + Culotes, Braços e Submento;4.000,00;4.900,00
   + Braços e Submento;4.000,00;4.900,00
Miniabdominoplastia;4.700,00;5.200,00
Miniabdominoplastia e Lipoaspiração de Abdome e Flancos;5.200,00;5.700,00
   + Pré-Axilas;5.200,00;5.700,00
   + Face Interna das Coxas;5.200,00;5.800,00
   + Culotes;5.200,00;5.800,00
   + Braços;5.500,00;5.900,00
   + Submento;5.200,00;5.800,00
   + Pré-Axilas e Face Interna das Coxas;5.200,00;5.800,00
   + Pré-Axilas e Culotes;5.200,00;5.800,00
   + Pré-Axilas e Braços;5.500,00;5.900,00
   + Pré-Axilas e Submento;5.200,00;5.800,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;5.400,00;5.900,00
   + Pré-Axilas, Face Interna das Coxas e Braços;5.500,00;5.900,00
   + Pré-Axilas, Face Interna das Coxas e Submento;5.400,00;5.900,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;5.500,00;5.900,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Submento;5.400,00;5.900,00
   + Pré-Axilas, Face Interna das Coxas, Braços e Submento;5.500,00;5.900,00
   + Pré-Axilas, Face Interna das Coxas, Culotes, Braços e Submento;5.500,00;5.900,00
   + Pré-Axilas, Culotes e Braços;5.500,00;5.900,00
   + Pré-Axilas, Culotes e Submento;5.400,00;5.900,00
   + Pré-Axilas, Culotes, Braços e Submento;5.500,00;5.900,00
   + Pré-Axilas, Braços e Submento;5.500,00;5.900,00
   + Face Interna das Coxas e Culotes;5.400,00;5.900,00
   + Face Interna das Coxas e Braços;5.400,00;5.900,00
   + Face Interna das Coxas e Submento;5.400,00;5.900,00
   + Face Interna das Coxas, Culotes e Braços;5.400,00;5.900,00
   + Face Interna das Coxas, Culotes e Submento;5.400,00;5.900,00
   + Face Interna das Coxas, Braços e Submento;5.500,00;5.900,00
   + Face Interna das Coxas, Culotes, Braços e Submento;5.500,00;5.900,00
   + Culotes e Braços;5.500,00;5.900,00
   + Culotes e Submento;5.400,00;5.900,00
   + Culotes, Braços e Submento;5.500,00;5.900,00
   + Braços e Submento;5.500,00;5.900,00
Miniabdominoplastia e Lipoaspiração de Abdome, Flancos e Dorso;5.700,00;6.200,00
   + Pré-Axilas;5.700,00;6.200,00
   + Face Interna das Coxas;5.700,00;6.400,00
   + Culotes;5.700,00;6.400,00
   + Braços;5.700,00;6.400,00
